winemaker;latitude;longitude
Fontana Candida;41.86186;12.687398
La Tunella;46.04077;13.437695
Mandrarossa;37.608944;12.987218
Jermann;45.910057;13.531289
Ottella;45.431797;10.658924
Corzano e Paterno;43.625896;11.153031
Firriato;38.000946;12.546107
Michele Chiarlo;44.73813;8.339852
Elena Walch;46.338905;11.238573
Torre Mora;15.0;37.0
Ronchi di Cialla;46.079536;13.480963
J. Hofstätter;46.341366;11.239585
Vietti;44.623917;7.979
Franz Haas;46.320156;11.28547
di Lenardo;45.89937;13.275073
Tenute Dettori;40.82724;8.65811
Manincor;44.8773;8.185049
Hauner;38.55591;14.869815
Feudi del Pisciotto;37.114353;14.413054
Prà;45.42542;11.280456
Borgo Paglianetto;44.8773;8.185049
Franz Haas;46.320156;11.28547
Mandrarossa;37.608944;12.987218
La Bollina;44.72358;8.838319
Terlan (Terlano);46.530525;11.251588
Tenuta delle Terre Nere;37.885815;15.019189
Tramin;46.345413;11.251244
Girlan;48.1163;11.584024
Donnafugata;37.788242;12.448781
Poggio le Volpi;41.821896;12.701406
Rocca di Frassinello;42.907288;10.99165
Zidarich;45.762093;13.695213
Colterenzio (Schreckbichl);46.46437;11.28719
Negro Angelo;44.779057;7.976117
Prà;45.42542;11.280456
Girlan;48.1163;11.584024
Stroblhof;46.45004;11.252883
La Monacesca;42.719883;11.189456
Borgo Molino;45.754665;12.400287
Jermann;45.910057;13.531289
Tenuta Iuzzolini;39.341686;17.104647
Malvirà;44.793922;7.974958
Santadi;39.093407;8.716156
Gravner;45.982132;13.608124
Pasqua Vigneti e Cantine;45.458282;11.028335
Fontana Candida;41.86186;12.687398
Belguardo;42.71294;11.187783
Terre del Principe;41.09585;14.36808
