Capannelle;50 & 50 2011;4,4;649 Voti;Italia·Toscana·Capannelle·Vino rosso·Merlot;120,00;[('Leggero-Strutturato', '52.6991%'), ('Morbido-Tannico', '45.5533%'), ('Secco-Dolce', '11.9574%'), ('Piatto-Acidulo', '47.5329%')];Manzo / Agnello / Vitello;[('legno', 345), ('bacche nere', 226), ('Erbaceo', 195)]
Biondi-Santi;Brunello di Montalcino Riserva 2006;4,4;168 Voti;Italia·Brunello di Montalcino·Biondi-Santi·Vino rosso·Sangiovese;540,00;[('Leggero-Strutturato', '45.9973%'), ('Morbido-Tannico', '56.7399%'), ('Secco-Dolce', '10.0994%'), ('Piatto-Acidulo', '62.4016%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('Erbaceo', 195), ('legno', 128), ('frutti rossi', 106)]
Piero Busso;Viti Vecchie Albesani Barbaresco Riserva 2013;4,5;32 Voti;Italia·Barbaresco·Piero Busso·Vino rosso·Nebbiolo;125,00;[('Leggero-Strutturato', '62.1358%'), ('Morbido-Tannico', '59.8357%'), ('Secco-Dolce', '13.0938%'), ('Piatto-Acidulo', '69.6352%')];Manzo / Pasta / Agnello;[('frutti rossi', 10), ('Erbaceo', 6), ('legno', 5)]
Rocca di Frassinello;Baffonero Maremma Toscana 2016;4,4;79 Voti;Italia·Maremma Toscana·Rocca di Frassinello·Vino rosso·Merlot;185,00;[('Leggero-Strutturato', '58.2355%'), ('Morbido-Tannico', '47.3224%'), ('Secco-Dolce', '16.8119%'), ('Piatto-Acidulo', '47.0575%')];Manzo / Agnello / Vitello;[('bacche nere', 73), ('legno', 68), ('Erbaceo', 46)]
Castello dei Rampolla;d'Alceo 2012;4,3;115 Voti;Italia·Toscana·Castello dei Rampolla·Vino rosso·Cabernet Sauvignon;109,80;[('Leggero-Strutturato', '52.3442%'), ('Morbido-Tannico', '45.1392%'), ('Secco-Dolce', '17.679%'), ('Piatto-Acidulo', '44.9271%')];Manzo / Agnello / Vitello;[('legno', 214), ('bacche nere', 205), ('Erbaceo', 154)]
Rocche dei Manzoni;Vigna Cappella di S. Stefano Perno Barolo 2010;4,4;100 Voti;Italia·Barolo·Rocche dei Manzoni·Vino rosso·Nebbiolo;112,00;[('Leggero-Strutturato', '62.02%'), ('Morbido-Tannico', '76.1137%'), ('Secco-Dolce', '6.62861%'), ('Piatto-Acidulo', '80.4809%')];Manzo / Pasta / Agnello;[('legno', 130), ('Erbaceo', 111), ('frutti rossi', 81)]
Monchiero Carbone;Mon Birone Barbera d'Alba 2017;4,3;157 Voti;Italia·Barbera d'Alba·Monchiero Carbone·Vino rosso·Barbera;29,10;[('Leggero-Strutturato', '57.6792%'), ('Morbido-Tannico', '22.6032%'), ('Secco-Dolce', '13.9518%'), ('Piatto-Acidulo', '61.6559%')];Pasta / Vitello / Maiale;[('legno', 47), ('bacche nere', 35), ('Erbaceo', 30)]
Marchesi di Barolo;Cannubi Barolo 2015;4,3;424 Voti;Italia·Barolo·Marchesi di Barolo·Vino rosso·Nebbiolo;53,00;[('Leggero-Strutturato', '63.5333%'), ('Morbido-Tannico', '73.2126%'), ('Secco-Dolce', '4.74628%'), ('Piatto-Acidulo', '80.8116%')];Manzo / Pasta / Agnello;[('legno', 372), ('Erbaceo', 302), ('frutti rossi', 273)]
Masseto;Toscana 2008;4,7;743 Voti;Italia·Toscana·Masseto·Vino rosso·Merlot;1350,00;[('Leggero-Strutturato', '57.6969%'), ('Morbido-Tannico', '45.9309%'), ('Secco-Dolce', '17.0264%'), ('Piatto-Acidulo', '45.1555%')];Manzo / Agnello / Vitello;[('legno', 617), ('bacche nere', 482), ('Erbaceo', 289)]
Mastrojanni;Vigna Schiena d'Asino Brunello di Montalcino 2012;4,5;108 Voti;Italia·Brunello di Montalcino·Mastrojanni·Vino rosso·Sangiovese;139,90;[('Leggero-Strutturato', '50.1862%'), ('Morbido-Tannico', '58.5345%'), ('Secco-Dolce', '4.95764%'), ('Piatto-Acidulo', '65.629%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 114), ('Erbaceo', 88), ('bacche nere', 62)]
