company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Palmento Costanzo;Mofete Etna Bianco;3.8;194;15.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Carricante;2019;59.4499;6.066;43.6391;agrume/Erbaceo/albero da frutta
Tessari;Bine Longhe di Costalta;3.9;52;30.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Soave Classico;Garganega;2018;35.833;3.61345;57.8824;albero da frutta/Erbaceo/agrume
Velenosi;Prope Trebbiano d'Abruzzo;3.8;51;9.68;na / na / na;Italia;Trebbiano d'Abruzzo;Trebbiano;2019;;;;
Cesconi;Olivar;4.2;29;23.0;na / na / na;Italia;Vigneti delle Dolomiti;Miscela;2018;;;;
Colterenzio (Schreckbichl);Pinot Grigio;3.8;221;8.6;Frutti di mare / Vegetariano / Funghi;Italia;Südtirol - Alto Adige;Pinot Grigio;2020;41.0993;12.2443;44.3724;albero da frutta/agrume/Erbaceo
Zuani;Sodevo Ribolla Gialla;4.1;56;15.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Ribolla Gialla;2019;57.651;22.0746;53.7649;albero da frutta/agrume/Erbaceo
Tenuta Ammiraglia;Masso Vivo Vermentino;3.8;135;9.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Toscana;Vermentino;2019;37.2677;17.0586;63.0003;albero da frutta/agrume/Erbaceo
Vesevo;Greco di Tufo;3.8;122;9.89;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Greco di Tufo;Greco;2017;61.3218;4.62964;33.1974;albero da frutta/agrume/Erbaceo
Menti Giovanni;Riva Arsiglia;3.7;152;18.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Gambellara;Garganega;2016;61.1314;23.0344;50.2521;Erbaceo/albero da frutta/agrume
Farnese;Fantini Pecorino Terre di Chieti;3.7;74;5.2;na / na / na;Italia;Terre di Chieti;Pecorino;2021;;;;
Kellerei Eisacktal - Cantina Valle Isarco;Aristos Sauvignon;3.8;38;15.7;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2018;60.2013;10.9973;64.5027;vegetale/nota tropicale/agrume
Tenute Orestiadi;Grillo;3.8;48;8.18;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Grillo;2020;61.3171;3.539;46.1617;agrume/Erbaceo/vegetale
Barone Montalto;Collezione di Famiglia Zibibbo;3.9;31;10.8;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Zibibbo;2020;60.155;11.4048;36.6101;albero da frutta/nota tropicale/agrume
Abbazia di Novacella (Stiftskellerei Neustift);Praepositus Gewürztraminer;4.1;37;17.99;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2020;66.6684;43.9334;31.2463;nota tropicale/albero da frutta/agrume
Feudi di San Gregorio;Campanaro;3.8;96;24.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Irpinia;Miscela;2012;57.78;11.3465;42.5316;agrume/Erbaceo/albero da frutta
Calabretta;Carricante;3.8;49;22.47;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Sicilia;Carricante;2019;57.0;5.54229;43.8291;Erbaceo/agrume/albero da frutta
J. Hofstätter;Kolbenhof Gewürztraminer;4.1;116;27.4;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2019;66.4466;38.8241;29.2928;nota tropicale/albero da frutta/Erbaceo
Tiefenbrunner;Turmhof Chardonnay;4.0;55;14.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2019;56.9492;20.9896;53.4151;legno/albero da frutta/Invecchiamento
Tenuta Ulisse;Limited Edition 10 Vendemmie Bianco;4.2;165;25.79;Pasta / Vegetariano / Antipasti e spuntini;Italia;Abruzzo;Miscela;;42.5;29.2857;64.4357;nota tropicale/Erbaceo/albero da frutta
Terlan (Terlano);Riserva Nova Domus Terlaner;4.4;470;41.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Miscela;2017;65.4024;25.697;48.5208;albero da frutta/Erbaceo/legno
