Name,R,G,B,Clusters
Chardonnay Sant'Antimo Ghiaie Bianche 2019'.png,153.54716631532008,150.79739497321782,139.79963164427156,2
Chardonnay Toscana 2017'.png,148.90405301417616,148.9059018687172,150.97365510052725,6
Chardonnay Toscana 2018'.png,169.12624429087435,143.66418073200023,117.34724958058021,3
Chardonnay Toscana 2019'.png,164.44463259736585,151.11940437999777,123.1401975979526,2
Chardonnay Toscana Il Marzocco 2018'.png,163.23410351093796,144.9723300171044,116.55162955935526,0
Chardonnay Toscana Le Bruniche 2019'.png,198.20695264907175,169.24943884403166,115.53140647613073,3
Chardonnay del Veneto 2020'.png,187.26789032051929,171.71786025166912,126.40864328849992,2
Chiaramonte Inzolia Sicilia 2020'.png,142.8123193766457,126.02167333992365,108.78307300362292,7
Chronicon Pecorino 2020'.png,154.95061148637006,143.72020038950683,124.13249373149642,0
Cialla Bianco 2017'.png,185.43949710515872,173.06073987198647,121.80628741384128,2
Ciampagnis Chardonnay 2020'.png,157.22606429634257,142.98295524360964,98.90712617320926,7
Ciari Pinot Grigio 2020'.png,142.50148069406157,138.0265191910598,134.17190465965666,6
Ciari Sauvignon Blanc 2019'.png,141.31961601620543,135.51004307501915,132.88185997222277,6
Ciari Traminer 2020'.png,138.9986747380973,138.34680356509926,138.9891790854022,6
Cicinis 2018'.png,178.42531907828825,166.7848229466768,102.86978620268357,3
Cimaio Bianco 2016'.png,142.93342655543339,129.97220742742394,111.2222252933715,7
Cinqueterre 2018'.png,141.59940733231457,124.14919866600736,101.83683604899844,7
Cirò Bianco 2019'.png,132.2397703519826,126.286493463761,109.99140786407622,1
Cirò Bianco 2020'.png,123.01117835383904,120.7942958287431,106.39149775076388,1
Clamys Vernaccia di San Gimignano 2018'.png,178.58525390800278,164.12852655265766,124.28892235622787,2
Coda di Volpe Taburno Sannio 2020'.png,148.50431643558377,144.09942400995223,132.06204602382925,6
Coda di Volpe del Nonno 2018'.png,142.6204891366196,139.69774093924858,121.97076152368102,0
Codice V 2019'.png,134.49288940902156,101.08473186328891,70.6559403359824,5
