company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Gaja;Barbaresco ;4.5;155;345.0;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;1988;60.1312;67.7589;7.52422;Erbaceo/legno/frutti rossi
Roberto Sarotto;Elena La Luna Barbera d'Alba ;4.4;707;19.9;Pasta / Vitello / Maiale;Italia;Barbera d'Alba;Barbera;2019;62.5238;20.5897;19.172;legno/bacche nere/frutti rossi
Gaja;Dagromis Barolo ;4.3;1039;95.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;62.8571;74.4822;6.36181;Erbaceo/legno/frutti rossi
Produttori del Barbaresco;Barbaresco Riserva Muncagota ;4.3;182;49.9;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2014;63.2178;74.3438;2.43253;Erbaceo/frutti rossi/legno
Cà dei Frati;Ronchedone Rosso ;4.2;2859;14.5;Manzo / Pasta / Agnello;Italia;Lombardia;Marzemino;2019;65.7215;40.508;24.3253;legno/bacche nere/frutti rossi
Duca di Salaparuta;Duca Enrico Rosso ;4.4;28;55.3;Manzo / Pasta / Agnello;Italia;Terre Siciliane;Nero d'Avola;2017;82.0256;40.8838;28.8272;Erbaceo/bacche nere/legno
Elena Walch;Cabernet Istrice ;4.3;83;21.9;Manzo / Pasta / Agnello;Italia;Südtirol - Alto Adige;Miscela;2018;60.75;39.4876;15.4707;legno/bacche nere/Erbaceo
San Giusto a Rentennano;La Ricolma ;4.3;75;495.0;Manzo / Agnello / Vitello;Italia;Toscana;Merlot;2004;51.4153;44.3468;11.6476;bacche nere/legno/Erbaceo
Sandrone;Barolo Le Vigne ;4.3;194;230.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2013;61.9831;75.957;9.53;Erbaceo/legno/frutti rossi
Arnaldo Rivera;Barolo Vignarionda ;4.3;38;53.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2015;61.1074;76.9635;3.25846;legno/spezie/frutti rossi
Capannelle;50 & 50 ;4.4;649;120.0;Manzo / Agnello / Vitello;Italia;Toscana;Merlot;2011;52.6991;45.5533;11.9574;legno/bacche nere/Erbaceo
Biondi-Santi;Brunello di Montalcino Riserva ;4.4;168;540.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2006;45.9973;56.7399;10.0994;Erbaceo/legno/frutti rossi
Piero Busso;Viti Vecchie Albesani Barbaresco Riserva ;4.5;32;125.0;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2013;62.1358;59.8357;13.0938;frutti rossi/Erbaceo/legno
Rocca di Frassinello;Baffonero Maremma Toscana ;4.4;79;185.0;Manzo / Agnello / Vitello;Italia;Maremma Toscana;Merlot;2016;58.2355;47.3224;16.8119;bacche nere/legno/Erbaceo
Castello dei Rampolla;d'Alceo ;4.3;115;109.8;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Sauvignon;2012;52.3442;45.1392;17.679;legno/bacche nere/Erbaceo
Rocche dei Manzoni;Vigna Cappella di S. Stefano Perno Barolo ;4.4;100;112.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2010;62.02;76.1137;6.62861;legno/Erbaceo/frutti rossi
Monchiero Carbone;Mon Birone Barbera d'Alba ;4.3;157;29.1;Pasta / Vitello / Maiale;Italia;Barbera d'Alba;Barbera;2017;57.6792;22.6032;13.9518;legno/bacche nere/Erbaceo
Marchesi di Barolo;Cannubi Barolo ;4.3;424;53.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2015;63.5333;73.2126;4.74628;legno/Erbaceo/frutti rossi
Masseto;Toscana ;4.7;743;1350.0;Manzo / Agnello / Vitello;Italia;Toscana;Merlot;2008;57.6969;45.9309;17.0264;legno/bacche nere/Erbaceo
