idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Brunello di Montalcino  - 2012 - Tenuta CastelGiocondo,40.5,Sangiovese,48.6478,57.2441,6.56036,legno/Erbaceo/frutti rossi,3
Luce Brunello di Montalcino  - 2015 - Tenuta Luce,119.0,Sangiovese,51.7219,58.0105,12.1889,legno/Erbaceo/bacche nere,7
Primitivo  - 2018 - Masseria Capoforte,13.5,Primitivo,67.4407,21.4394,44.4811,legno/bacche nere/frutti rossi,6
Garblèt Sué Barolo  - 2012 - Brovia,117.0,Nebbiolo,65.4882,72.7554,2.74647,Erbaceo/legno/frutti rossi,1
Lodovico  - 2015 - Biserno,465.0,Miscela,58.9703,41.3007,15.3419,legno/bacche nere/Erbaceo,4
Cuslanus Amarone della Valpolicella Classico  - 2015 - Albino Armani,41.7,Miscela,78.7459,24.3376,44.2626,legno/bacche nere/frutti rossi,8
Sassicaia  - 2016 - Tenuta San Guido,450.0,Miscela,62.0472,64.0325,10.295,legno/bacche nere/Erbaceo,4
Campo Buri Carmenérè - Oseleta  - 2015 - La Cappuccina,30.0,Miscela,67.1099,39.1759,23.0264,legno/frutti rossi/Erbaceo,10
Symbol Primitivo  - 2016 - Colli Della Murgia,22.9,Primitivo,65.2119,25.9848,40.8597,bacche nere/legno/Erbaceo,2
Eremo San Quirico  - 2018 - Nativ,16.8,Aglianico,85.0,38.1884,39.5993,legno/bacche nere/frutti rossi,15
Vigna Loreto Brunello di Montalcino  - 2012 - Mastrojanni,126.0,Sangiovese,49.1105,58.2802,9.66197,legno/Erbaceo/frutti rossi,3
Guglielmi di Jago Amarone della Valpolicella Classico  - 1998 - Villa Spinosa,139.98,Miscela,82.0038,28.8385,49.0397,legno/frutta secca/spezie,13
Tignanello  - 2010 - Antinori,336.0,Miscela,53.2223,42.2512,10.8422,legno/bacche nere/Erbaceo,4
Tenuta Guado al Tasso Bolgheri Superiore  - 2017 - Antinori,170.0,Cabernet Sauvignon,65.7712,64.2851,10.9869,legno/bacche nere/Erbaceo,12
Barolo Cannubi  - 2015 - Michele Chiarlo,103.98,Nebbiolo,62.7019,79.5426,4.31773,Erbaceo/frutti rossi/legno,1
Capo di Stato  - 2017 - Loredan Gasparini,50.0,Miscela,65.6127,43.8975,16.9805,Erbaceo/bacche nere/legno,4
Bricco delle Viole Barolo Riserva  - 2013 - Viberti Giovanni,104.0,Nebbiolo,59.2943,75.8366,9.26403,Erbaceo/legno/frutti rossi,1
Guidalberto  - 2018 - Tenuta San Guido,42.0,Miscela,50.9431,41.0416,8.4154,legno/bacche nere/Erbaceo,4
Bric Dël Fiasc Barolo  - 2016 - Paolo Scavino,100.0,Nebbiolo,62.9797,76.5326,7.65733,Erbaceo/legno/frutti rossi,1
Cosimo Varvaglione Collezione Privata Negroamaro del Salento  - 2017 - Varvaglione,24.5,Negroamaro,77.143,37.1748,29.9993,bacche nere/spezie/legno,16
Sonetto Primitivo di Manduria Riserva  - 2015 - Produttori Vini Manduria,28.45,Primitivo,66.6054,27.4841,39.596,legno/bacche nere/frutta secca,6
Toscana Camartina  - 2016 - Querciabella,99.9,Miscela,52.5941,42.8186,12.797,legno/bacche nere/Erbaceo,4
Barolo Ginestra Vigna del Gris  - 2015 - Conterno Fantino,77.5,Nebbiolo,64.0438,77.61,5.65041,Erbaceo/legno/bacche nere,11
Costasera Amarone della Valpolicella Classico  - 1999 - Masi,102.0,Corvina,85.0,23.5683,48.3395,legno/bacche nere/Erbaceo,14
Solare Toscana  - 2015 - Capannelle,44.9,Miscela,50.5614,43.2317,10.3446,legno/Erbaceo/bacche nere,4
La Serra Barolo  - 2001 - Roberto Voerzio,255.0,Nebbiolo,61.9581,78.1891,15.1062,Erbaceo/frutti rossi/legno,1
Percarlo  - 2015 - San Giusto a Rentennano,186.0,Sangiovese,51.6436,48.7284,11.5579,legno/Erbaceo/frutti rossi,3
Amarone della Valpolicella Classico  - 2012 - Quintarelli Giuseppe,320.0,Corvina,82.7095,25.6376,50.3312,legno/bacche nere/Erbaceo,14
d'Alceo  - 2000 - Castello dei Rampolla,177.0,Miscela,52.3442,45.1392,17.679,legno/bacche nere/Erbaceo,4
Alfiera Barbera d'Asti Superiore  - 2018 - Marchesi Alfieri,26.0,Barbera,59.0803,30.6521,18.3469,legno/bacche nere/frutti rossi,15
Brunello di Montalcino Riserva  - 2011 - Poggio di Sotto,450.0,Sangiovese,46.5783,53.1578,8.68687,legno/Erbaceo/frutti rossi,3
Verso Sera Colline Teramane  - 2018 - Velenosi,79.0,Montepulciano,42.7048,35.4518,23.4608,frutti rossi/legno/bacche nere,15
Amarone della Valpolicella Classico Lena di Mezzo  - 2017 - Monte del Frá,28.7,Miscela,85.0,24.4378,49.2852,legno/bacche nere/frutti rossi,8
Brunello di Montalcino  - 2007 - Banfi,69.0,Sangiovese,47.4791,54.4504,4.35101,legno/Erbaceo/frutti rossi,3
Sorì Tildìn (Barbaresco) Langhe  - 2011 - Gaja,598.0,Nebbiolo,63.677,68.56,8.68274,Erbaceo/legno/frutti rossi,1
Barbaresco Asili  - 2018 - Ceretto,148.0,Nebbiolo,52.5062,74.8184,0.928362,frutti rossi/Erbaceo/legno,1
Amarone della Valpolicella  - 2015 - Santi,30.8,Miscela,85.0,21.5289,50.3535,legno/bacche nere/Erbaceo,14
Brunello di Montalcino  - 2016 - Corte dei Venti,45.5,Sangiovese,48.2585,49.6954,3.73406,Erbaceo/legno/frutti rossi,3
Barolo Cerretta  - 2016 - Fratelli Revello,48.0,Nebbiolo,57.2376,84.3842,0.0,Erbaceo/frutti rossi/legno,1
Barolo  - 2017 - Margherita Otto,90.0,Nebbiolo,59.7554,81.465,0.0,spezie/legno/Erbaceo,9
L'Apparita  - 2007 - Castello di Ama,225.0,Merlot,53.3826,43.5032,13.1737,legno/Erbaceo/bacche nere,5
Barolo Monprivato  - 2012 - Mascarello Giuseppe e Figlio,239.0,Nebbiolo,55.855,74.2535,7.34307,frutti rossi/Erbaceo/legno,1
L'Apparita  - 1994 - Castello di Ama,195.0,Merlot,53.3826,43.5032,13.1737,legno/Erbaceo/bacche nere,5
Pelagrilli Brunello di Montalcino  - 2016 - Siro Pacenti,51.7,Sangiovese,46.4185,58.7078,8.87561,legno/frutti rossi/Erbaceo,3
Brunello di Montalcino  - 2016 - Poggio Antico,50.9,Sangiovese,46.4004,53.1607,5.81559,legno/Erbaceo/frutti rossi,3
Falletto Barolo  - 2009 - Bruno Giacosa,336.0,Nebbiolo,60.1201,75.1187,10.3601,Erbaceo/frutti rossi/legno,1
Vigna Colonnello Barolo Riserva Bussia  - 2013 - Prunotto,203.0,Nebbiolo,58.7034,74.07,2.0766,frutti rossi/Erbaceo/legno,1
Praepositus Pinot Nero Riserva  - 2018 - Abbazia di Novacella (Stiftskellerei Neustift),27.8,Pinot Nero,41.8402,24.233,10.2463,legno/frutti rossi/Erbaceo,10
Barolo Le Vigne  - 2015 - Sandrone,114.4,Nebbiolo,61.9831,75.957,9.53,Erbaceo/legno/frutti rossi,1
Valpolicella Superiore Monte Lodoletta  - 2013 - Dal Forno Romano,99.0,Corvina,53.7444,39.4159,25.0749,legno/bacche nere/Erbaceo,2
Barbaresco Riserva Montefico  - 2014 - Produttori del Barbaresco,49.0,Nebbiolo,63.3107,73.4346,7.45036,Erbaceo/frutti rossi/legno,1
Brunello di Montalcino  - 2017 - Corte dei Venti,47.43,Sangiovese,48.2585,49.6954,3.73406,Erbaceo/legno/frutti rossi,3
Don Luigi Riserva  - 2016 - Di Majo Norante,24.79,Montepulciano,84.1676,48.157,29.0916,legno/bacche nere/Erbaceo,2
Barolo Riserva Villero  - 2012 - Vietti,314.0,Nebbiolo,66.3235,82.0909,13.7773,Erbaceo/legno/spezie,9
Amarone della Valpolicella Classico  - 2013 - Quintarelli Giuseppe,255.0,Corvina,82.7095,25.6376,50.3312,legno/bacche nere/Erbaceo,14
Gelso d'Oro Nero di Troia  - 2018 - Podere 29,20.5,Nero di Troia,84.2963,37.375,36.4318,legno/bacche nere/Erbaceo,2
