,Name,R,G,B,Clusters
240,Bolgheri Superiore 2015'.png,108.32766527769408,97.53113646751565,96.84742323416134,1
241,Bolgheri Superiore 2018'.png,143.04042432867007,143.16754130000893,142.64353180342363,0
242,Bolgheri Superiore 2019'.png,132.0325806844838,119.61463713660982,112.07047487444085,3
243,Bolgheri Superiore Baia Al Vento 2018'.png,149.36196313568604,138.6443005085029,104.37873650758873,7
244,Bolgheri Superiore Sondraia 2018'.png,167.15814069317713,143.7027487558954,127.67767228454629,5
245,Bonsai 2017'.png,149.18996891680362,121.34160751484099,117.54271428948577,7
246,Borromeo Chianti Classico Riserva 2016'.png,155.48673893374948,130.27162718870792,95.7523873594772,7
247,Bramasole Syrah 2017'.png,149.14231399760902,146.7343942507698,143.15457539366443,2
248,Breg Rosso 2005'.png,110.40628124692685,111.13418989341356,117.41518867085401,3
249,Bric Dël Fiasc Barolo 2015'.png,127.03515832875914,122.99031236436417,81.51954050331103,1
250,Bricco Manzoni 2015'.png,166.99234320095948,165.75816948490998,161.81967956850048,6
251,Bricco San Pietro Fraschin Barolo 2013'.png,139.2994041624012,136.02317449611297,133.10927841439155,0
252,Bricco Sarmassa Barolo 2011'.png,162.38561404694195,146.98730194227974,120.13708968809382,5
253,Bricco dell'Uccellone Barbera d'Asti 2018'.png,159.8282684534416,143.82097281767435,138.36869886429093,5
254,Bricco della Bigotta Barbera d'Asti 2017'.png,131.21648828717744,106.53713932397457,106.26255796514802,3
255,Bricco delle Viole Barolo Riserva 2013'.png,135.197562671747,127.75123085171033,126.89733070353584,0
256,Brunate Barolo 2001'.png,159.80796073326727,139.28509344112155,141.94865130688328,2
257,Brunate Barolo 2014'.png,150.5765111638788,146.7283014433291,136.31592623766215,2
258,Brunate Barolo 2016'.png,161.46308576030964,116.81425071437334,92.31628481848556,7
259,Brunate Barolo 2017'.png,166.25414951536007,156.71962174736592,140.3616274278097,5
260,Brunello di Montalcino (Casato Prime Donne) 2016'.png,130.99421457441738,122.18918467030419,124.73756703544149,3
